VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	FULL_NAME	term	shortname	P_adjusted	significant_P_adj	tissue_name
Lung	COVAR	17345	-0.012142	-0.023476	0.0060182	0.97818	Lung	f884	Moderate physical activity frequency	1	FALSE	Lung
Minor_Salivary_Gland	COVAR	17345	-0.011004	-0.02048	0.0063226	0.9591	Minor_Salivary_Gland	f884	Moderate physical activity frequency	1	FALSE	Minor Salivary Gland
Muscle_Skeletal	COVAR	17345	-0.0036842	-0.0069685	0.0045361	0.79165	Muscle_Skeletal	f884	Moderate physical activity frequency	1	FALSE	Muscle Skeletal
Nerve_Tibial	COVAR	17345	-0.0057659	-0.011606	0.0065908	0.80916	Nerve_Tibial	f884	Moderate physical activity frequency	1	FALSE	Nerve Tibial
Ovary	COVAR	17345	0.0054632	0.011074	0.0063054	0.19313	Ovary	f884	Moderate physical activity frequency	1	FALSE	Ovary
Pancreas	COVAR	17345	-0.0093002	-0.015551	0.0054706	0.95543	Pancreas	f884	Moderate physical activity frequency	1	FALSE	Pancreas
Pituitary	COVAR	17345	0.011839	0.022067	0.005879	0.022023	Pituitary	f884	Moderate physical activity frequency	0.572598	FALSE	Pituitary
Prostate	COVAR	17345	-0.012832	-0.024343	0.0078514	0.94889	Prostate	f884	Moderate physical activity frequency	1	FALSE	Prostate
Skin_Not_Sun_Exposed_Suprapu...	COVAR	17345	-0.011746	-0.022656	0.0050546	0.98992	Skin_Not_Sun_Exposed_Suprapubic	f884	Moderate physical activity frequency	1	FALSE	Skin Not Sun Exposed Suprapubic
Skin_Sun_Exposed_Lower_leg	COVAR	17345	-0.01344	-0.026084	0.005066	0.99601	Skin_Sun_Exposed_Lower_leg	f884	Moderate physical activity frequency	1	FALSE	Skin Sun Exposed Lower leg
Small_Intestine_Terminal_Ile...	COVAR	17345	-0.0084258	-0.015495	0.0063163	0.90888	Small_Intestine_Terminal_Ileum	f884	Moderate physical activity frequency	1	FALSE	Small Intestine Terminal Ileum
Spleen	COVAR	17345	-0.0026566	-0.0052653	0.0048304	0.70883	Spleen	f884	Moderate physical activity frequency	1	FALSE	Spleen
Stomach	COVAR	17345	-0.014984	-0.027224	0.0079074	0.97094	Stomach	f884	Moderate physical activity frequency	1	FALSE	Stomach
Testis	COVAR	17345	0.0025121	0.0043369	0.0036454	0.24538	Testis	f884	Moderate physical activity frequency	1	FALSE	Testis
